gat_kodas,tipas,pavadinimas,gyvenamoji_vietove._id
1127561,gatvė,Saulės,66799f53-d2e9-4279-b211-8081fb0db1bf
1127576,gatvė,Žolynų,66799f53-d2e9-4279-b211-8081fb0db1bf
1127705,gatvė,Liepų,325027c7-caa9-427a-8423-670f4750b7b0
1128549,gatvė,Raudonės,25954ec2-7722-4a72-a6e7-e6706356471c
1128792,gatvė,Lietaus,d68de5c3-fbf7-45ce-b222-58fbb3d7c93f
1128826,gatvė,Balto,06006186-9e60-4ac0-9d6c-427b7ccd92dc
1128845,gatvė,Ramybės,06006186-9e60-4ac0-9d6c-427b7ccd92dc
1128864,gatvė,Skirnos,6e47a2e4-59e4-465d-b2c2-b87759fe37dc
1128974,gatvė,Maučiuvio,e68683e0-2cd1-42a4-8a27-eca616b48888
1129598,gatvė,Pelyšos,263c47db-e01e-43c1-b363-3bde40bc395d
1129674,gatvė,Smilgų,11c85ecb-d4ee-43a2-8c71-e34741b04f99
1129689,gatvė,Vienkiemių,11c85ecb-d4ee-43a2-8c71-e34741b04f99
1130033,kelias,Dūkšto,d68de5c3-fbf7-45ce-b222-58fbb3d7c93f
1130048,gatvė,Poviliškės,d68de5c3-fbf7-45ce-b222-58fbb3d7c93f
1130052,gatvė,Babrūšos,d68de5c3-fbf7-45ce-b222-58fbb3d7c93f
1130067,gatvė,Petriškės,d68de5c3-fbf7-45ce-b222-58fbb3d7c93f
1130071,gatvė,Medeinos,d68de5c3-fbf7-45ce-b222-58fbb3d7c93f
1130124,gatvė,Ežero,cedf66b7-ccfe-4fde-bf98-58fca86c2e52
1130139,gatvė,Stoties,de8159e8-7be8-4876-b884-334c855b471c
1130143,gatvė,Pasvalio,de8159e8-7be8-4876-b884-334c855b471c
1133271,gatvė,Beržų,66799f53-d2e9-4279-b211-8081fb0db1bf
1130158,gatvė,Dvaralaukių,e68683e0-2cd1-42a4-8a27-eca616b48888
1130162,gatvė,Parko,e68683e0-2cd1-42a4-8a27-eca616b48888
1130382,gatvė,Kankorėžių,7a9d4cd0-0d4d-47de-a5e4-bbf0fa276def
1130841,gatvė,Griciūnų,74881e2a-48b6-4305-9f00-d890ace4b0b5
1130928,gatvė,Beržų,ad4daabb-a631-422e-bb9c-7c252a15f3ac
1131374,gatvė,Kemsinio,d68de5c3-fbf7-45ce-b222-58fbb3d7c93f
1131389,gatvė,Pievų,d68de5c3-fbf7-45ce-b222-58fbb3d7c93f
1131393,gatvė,Šlaito,d68de5c3-fbf7-45ce-b222-58fbb3d7c93f
1131408,gatvė,Vėjų,d68de5c3-fbf7-45ce-b222-58fbb3d7c93f
1131412,gatvė,Rūko,d68de5c3-fbf7-45ce-b222-58fbb3d7c93f
1131427,gatvė,Žiedo,66799f53-d2e9-4279-b211-8081fb0db1bf
1131431,gatvė,Paparčių,66799f53-d2e9-4279-b211-8081fb0db1bf
